Index,X_Coordinate,Y_Coordinate,Phase_Error
1,4.9681,5.2234,0.01447640534
2,4.9787,5.2234,0.01090430532
3,4.9787,5.234,0.01090430532
4,4.9894,5.234,0.01673246851
5,4.9894,5.2447,0.01673246851
6,5,5.2447,0.01316036849
7,5,5.266,0.01316036849
8,5.0106,5.266,0.009588268472
9,5.0106,5.2766,0.009588268472
10,5.0213,5.2766,0.01541643166
11,5.0213,5.2872,0.01541643166
12,5.0319,5.2872,0.01184433164
13,5.0319,5.3085,0.01184433164
14,5.0426,5.3085,0.01767249483
15,5.0426,5.3191,0.01767249483
16,5.0532,5.3191,0.01410039481
17,5.0532,5.3404,0.01410039481
18,5.0638,5.3404,0.01052829479
19,5.0638,5.3617,0.01052829479
20,5.0745,5.3617,0.01635645798
21,5.0745,5.383,0.01635645798
22,5.0851,5.383,0.01278435796
23,5.0851,5.3936,0.01278435796
24,5.0957,5.3936,0.009212257943
25,5.0957,5.4149,0.009212257943
26,5.1064,5.4149,0.01504042113
27,5.1064,5.4362,0.01504042113
28,5.117,5.4362,0.01146832111
29,5.117,5.4574,0.01146832111
30,5.1277,5.4574,0.0172964843
31,5.1277,5.4787,0.0172964843
32,5.1383,5.4787,0.01372438428
33,5.1383,5.5,0.01372438428
34,5.1489,5.5,0.01015228426
35,5.1489,5.5213,0.01015228426
36,5.1596,5.5213,0.01598044745
37,5.1596,5.5426,0.01598044745
38,5.1702,5.5426,0.01240834743
39,5.1702,5.5638,0.01240834743
40,5.1809,5.5638,0.01823651062
41,5.1809,5.5745,0.01823651062
42,5.1915,5.5745,0.0146644106
43,5.1915,5.6064,0.0146644106
44,5.2021,5.6064,0.01109231058
45,5.2021,5.6277,0.01109231058
46,5.2128,5.6277,0.01692047377
47,5.2128,5.6489,0.01692047377
48,5.2234,5.6489,0.01334837375
49,5.2234,5.6596,0.01334837375
50,5.234,5.6596,0.009776273736
51,5.234,5.6809,0.009776273736
52,5.2447,5.6809,0.01560443692
53,5.2447,5.7021,0.01560443692
54,5.2553,5.7021,0.01203233691
55,5.2553,5.7234,0.01203233691
56,5.266,5.7234,0.01786050009
57,5.266,5.7447,0.01786050009
58,5.2766,5.7447,0.01428840008
59,5.2766,5.766,0.01428840008
60,5.2872,5.766,0.01071630006
61,5.2872,5.7872,0.01071630006
62,5.2979,5.7872,0.01654446324
63,5.2979,5.7979,0.01654446324
64,5.3085,5.7979,0.01297236323
65,5.3085,5.8191,0.01297236323
66,5.3191,5.8191,0.009400263207
67,5.3191,5.8404,0.009400263207
68,5.3298,5.8404,0.0152284264
69,5.3298,5.8617,0.0152284264
70,5.3404,5.8617,0.01165632638
71,5.3404,5.883,0.01165632638
72,5.3511,5.883,0.01748448957
73,5.3511,5.8936,0.01748448957
74,5.3617,5.8936,0.01391238955
75,5.3617,5.9149,0.01391238955
76,5.3723,5.9149,0.01034028953
77,5.3723,5.9362,0.01034028953
78,5.383,5.9362,0.01616845272
79,5.383,5.9574,0.01616845272
80,5.3936,5.9574,0.0125963527
81,5.3936,5.9787,0.0125963527
82,5.4043,5.9787,0.01842451589
83,5.4043,6,0.01842451589
84,5.4149,6,0.01485241587
85,5.4149,6.0319,0.01485241587
86,5.4255,6.0319,0.01128031585
87,5.4255,6.0532,0.01128031585
88,5.4362,6.0532,0.01710847904
89,5.4362,6.0638,0.01710847904
90,5.4468,6.0638,0.01353637902
91,5.4468,6.0851,0.01353637902
92,5.4574,6.0851,0.009964279
93,5.4574,6.0957,0.009964279
94,5.4681,6.0957,0.01579244219
95,5.4681,6.1064,0.01579244219
96,5.4787,6.1064,0.01222034217
97,5.4787,6.1277,0.01222034217
98,5.4894,6.1277,0.01804850536
99,5.4894,6.1489,0.01804850536
100,5.5,6.1489,0.01447640534
101,5.5,6.1596,0.01447640534
102,5.5106,6.1596,0.01090430532
103,5.5106,6.1809,0.01090430532
104,5.5213,6.1809,0.01673246851
105,5.5213,6.2128,0.01673246851
106,5.5319,6.2128,0.01316036849
107,5.5319,6.234,0.01316036849
108,5.5426,6.234,0.01898853168
109,5.5426,6.2553,0.01898853168
110,5.5532,6.2553,0.01541643166
111,5.5532,6.2766,0.01541643166
112,5.5638,6.2766,0.01184433164
113,5.5638,6.2979,0.01184433164
114,5.5745,6.2979,0.01767249483
115,5.5745,6.3191,0.01767249483
116,5.5851,6.3191,0.01410039481
117,5.5851,6.3404,0.01410039481
118,5.5957,6.3404,0.01052829479
119,5.5957,6.3511,0.01052829479
120,5.6064,6.3511,0.01635645798
121,5.6064,6.3723,0.01635645798
122,5.617,6.3723,0.01278435796
123,5.617,6.3936,0.01278435796
124,5.6277,6.3936,0.01861252115
125,5.6277,6.4043,0.01861252115
126,5.6383,6.4043,0.01504042113
127,5.6383,6.4149,0.01504042113
128,5.6489,6.4149,0.01146832111
129,5.6489,6.4362,0.01146832111
130,5.6596,6.4362,0.0172964843
131,5.6596,6.4574,0.0172964843
132,5.6702,6.4574,0.01372438428
133,5.6702,6.4787,0.01372438428
134,5.6809,6.4787,0.01955254747
135,5.6809,6.5,0.01955254747
136,5.6915,6.5,0.01598044745
137,5.6915,6.5213,0.01598044745
138,5.7021,6.5213,0.01240834743
139,5.7021,6.5426,0.01240834743
140,5.7128,6.5426,0.01823651062
141,5.7128,6.5745,0.01823651062
142,5.7234,6.5745,0.0146644106
143,5.7234,6.6064,0.0146644106
144,5.734,6.6064,0.01109231058
145,5.734,6.6277,0.01109231058
146,5.7447,6.6277,0.01692047377
147,5.7447,6.6383,0.01692047377
148,5.7553,6.6383,0.01334837375
149,5.7553,6.6489,0.01334837375
150,5.766,6.6489,0.01917653694
151,5.766,6.6702,0.01917653694
152,5.7766,6.6702,0.01560443692
153,5.7766,6.6809,0.01560443692
154,5.7872,6.6809,0.01203233691
155,5.7872,6.7021,0.01203233691
156,5.7979,6.7021,0.01786050009
157,5.7979,6.7234,0.01786050009
158,5.8085,6.7234,0.01428840008
159,5.8085,6.7447,0.01428840008
160,5.8191,6.7447,0.01071630006
161,5.8191,6.7553,0.01071630006
162,5.8298,6.7553,0.01654446324
163,5.8298,6.7766,0.01654446324
164,5.8404,6.7766,0.01297236323
165,5.8404,6.7872,0.01297236323
166,5.8511,6.7872,0.01880052641
167,5.8511,6.8085,0.01880052641
168,5.8617,6.8085,0.0152284264
169,5.8617,6.8298,0.0152284264
170,5.8723,6.8298,0.01165632638
171,5.8723,6.8404,0.01165632638
172,5.883,6.8404,0.01748448957
173,5.883,6.8617,0.01748448957
174,5.8936,6.8617,0.01391238955
175,5.8936,6.8936,0.01391238955
176,5.9043,6.8936,0.01974055274
177,5.9043,6.9255,0.01974055274
178,5.9149,6.9255,0.01616845272
179,5.9149,6.9574,0.01616845272
180,5.9255,6.9574,0.0125963527
181,5.9255,6.9681,0.0125963527
182,5.9362,6.9681,0.01842451589
183,5.9362,6.9894,0.01842451589
184,5.9468,6.9894,0.01485241587
185,5.9468,7,0.01485241587
186,5.9574,7,0.01128031585
187,5.9574,7.0213,0.01128031585
188,5.9681,7.0213,0.01710847904
189,5.9681,7.0426,0.01710847904
190,5.9787,7.0426,0.01353637902
191,5.9787,7.0638,0.01353637902
192,5.9894,7.0638,0.01936454221
193,5.9894,7.0851,0.01936454221
194,6,7.0851,0.01579244219
195,6,7.1064,0.01579244219
196,6.0106,7.1064,0.01222034217
197,6.0106,7.1277,0.01222034217
198,6.0213,7.1277,0.01804850536
199,6.0213,7.1489,0.01804850536
200,6.0319,7.1489,0.01447640534
201,6.0319,7.1702,0.01447640534
202,6.0426,7.1702,0.02030456853
203,6.0426,7.1915,0.02030456853
204,6.0532,7.1915,0.01673246851
205,6.0532,7.2128,0.01673246851
206,6.0638,7.2128,0.01316036849
207,6.0638,7.234,0.01316036849
208,6.0745,7.234,0.01898853168
209,6.0745,7.2447,0.01898853168
210,6.0851,7.2447,0.01541643166
211,6.0851,7.266,0.01541643166
212,6.0957,7.266,0.01184433164
213,6.0957,7.2979,0.01184433164
214,6.1064,7.2979,0.01767249483
215,6.1064,7.3191,0.01767249483
216,6.117,7.3191,0.01410039481
217,6.117,7.3404,0.01410039481
218,6.1277,7.3404,0.019928558
219,6.1277,7.3511,0.019928558
220,6.1383,7.3511,0.01635645798
221,6.1383,7.3723,0.01635645798
222,6.1489,7.3723,0.01278435796
223,6.1489,7.3936,0.01278435796
224,6.1596,7.3936,0.01861252115
225,6.1596,7.4043,0.01861252115
226,6.1702,7.4043,0.01504042113
227,6.1702,7.4149,0.01504042113
228,6.1809,7.4149,0.02086858432
229,6.1809,7.4362,0.02086858432
230,6.1915,7.4362,0.0172964843
231,6.1915,7.4468,0.0172964843
232,6.2021,7.4468,0.01372438428
233,6.2021,7.4681,0.01372438428
234,6.2128,7.4681,0.01955254747
235,6.2128,7.5,0.01955254747
236,6.2234,7.5,0.01598044745
237,6.2234,7.5213,0.01598044745
